,word,x,y
210,belum,0.8361138,0.49701178
211,tiada,0.29986948,-1.1757586
212,bertunas,0.52916664,-0.00046031474
213,padang,0.16395861,-0.10085898
214,diturunkan,-1.0844394,-0.23758139
215,hujan,0.8125345,1.5546937
216,orang,0.046394434,-1.25404185e-05
217,membelakan,0.2332409,0.715595
218,melainkan,0.08689623,-0.421826
219,naiklah,0.9964777,0.013256573
220,uap,-0.8471259,0.95467323
221,membasahkan,0.36227676,0.10048611
222,dirupakan,-1.3570291,1.0358839
223,lebu,1.4524958,-1.131149
224,nafas,0.3675027,0.9162535
225,ke,0.046410765,-1.2883653e-05
226,lubang,0.8114048,-0.9805744
227,hidungnya,0.54188913,1.6192259
228,pula,-0.81482506,0.35595176
229,taman,-0.820788,1.5734123
230,Eden,1.3076667,-1.2629187
231,sebelah,0.33873558,-0.054864496
232,timur,-0.3945955,0.070351526
233,sanalah,0.0026333386,-0.32577482
234,sana,0.046432827,-1.2600267e-05
235,berbagai,-0.8593318,-0.77866423
236,bagai,0.20664187,0.7159876
237,permai,0.7119273,-0.40392813
238,pemandangan,-0.22287734,-1.7556448
239,mata,0.35296747,0.3801397
240,baik,0.04638921,-1.3055724e-05
241,dimakan,0.28478608,-1.730694
242,adalah,0.046387788,-1.3036228e-05
243,alhayat,-0.3029601,-0.53375626
244,pengetahuan,0.40621698,0.8585458
245,jahatpun,0.77973175,0.737946
246,mengalirlah,1.509394,-0.96763575
247,sungai,0.06446871,-1.3774463
248,dibagikan,0.37014115,0.38717297
249,empat,0.83185965,0.26374945
250,batangnya,-0.44753152,0.49869397
251,Adapun,1.2409285,0.34970033
252,nama,-0.90462035,0.48621413
253,Pison,0.159274,-1.0519232
254,melengkung,1.7486658,-0.5550956
255,emas,-0.25025383,0.25493214
256,sanapun,0.29069692,-0.26728314
257,hablur,0.20361099,0.118451774
258,permata,-0.59078676,-1.6478256
259,unam,-1.5475516,-0.753313
260,Gihon,-0.38521615,-0.47868654
261,Kusy,0.7313323,-0.3651963
262,mengalir,1.0296433,-0.5814277
263,benua,-0.7618627,1.6011817
264,Asyur,0.8952963,1.5203326
265,Dan,0.04638923,-1.3389652e-05
266,Ferat,0.0522642,-1.0485227
267,diambil,-0.68447936,0.040683523
268,oleh,-1.1795948,-1.1997613
269,diusahakannya,1.7606953,-0.50895196
270,dipeliharakannya,-1.11797,-0.059954032
271,berfirmanlah,0.016821599,-0.015793342
272,kata,0.5975412,-0.4460399
273,ini,0.046387814,-1.3471868e-05
274,boleh,0.4098092,-0.8987031
275,engkau,0.046391148,-1.2578814e-05
276,makan,1.2469368,0.35363767
277,sesukamu,-0.3641709,1.2849824
278,jahat,-0.3858621,-0.45473617
279,janganlah,-0.87810296,0.90972155
280,padanya,-0.31987086,0.20017669
281,mati,0.38169542,-1.2539696
282,Tiada,1.0484937,-0.46888226
283,seorang,0.04639441,6.807415e-06
284,orangnya,0.9174847,1.508454
285,bahwa,0.046410933,4.549711e-06
286,hendak,-0.5254116,-1.6747404
287,memperbuat,-0.2431245,-0.103210725
288,penolong,1.0126278,-0.0020832866
289,sejodoh,0.04777891,1.6645323
290,Karena,0.6254869,1.6817417
291,didatangkannya,-0.57559174,1.2040061
292,sekaliannya,-0.24053045,-1.75504
293,Adam,1.1412314,1.2015702
294,melihat,0.046391062,-2.8892238e-05
295,bagaimana,0.9953299,0.089538336
296,sebagaimana,0.3310464,-0.16948222
297,begitu,-1.6211948,-0.5821785
298,juga,0.046382476,-1.569237e-05
299,jadi,0.044678956,-0.016367605
300,namanya,0.030461643,-0.00548366
301,margasatwa,0.35140818,0.37765774
302,bagi,0.7906198,-1.5864468
303,didapatinya,-1.2427652,1.2684531
304,didatangkan,1.6417831,0.69625735
305,tidur,-0.5052771,-0.39141548
306,lelap,-0.38753042,0.07363744
307,tertidurlah,0.79779935,1.1161163
308,sebilah,1.5893079,0.6057364
309,tulang,0.17964351,1.0447874
310,rusuknya,0.86300385,0.32554474
311,ditutupkan,-0.96580577,0.33542544
312,daging,0.11267397,-0.7674254
313,dikeluarkan,-0.24565674,-0.11050184
314,dibawa,1.236914,0.29549453
315,sekarang,0.046475008,-5.7278667e-06
316,tulangku,0.8265623,0.26424602
317,dagingku,-0.21612157,-0.80941564
318,sebab,1.5492381,-0.93236655
319,tak,0.04638918,-1.30567605e-05
320,dapat,0.8044113,-0.290078
321,meninggalkan,0.3580462,-0.6828021
322,ibu,0.36995697,-0.9993294
323,bapanya,0.06645516,-0.042066216
324,berdamping,-0.007208233,0.38492677
325,isterinya,0.3577818,0.39339638
326,sedaging,0.017282024,0.13934323
327,jua,0.27633336,1.1529467
328,Hata,0.13670884,0.09116202
329,keduanyapun,-1.4353032,0.8942605
330,bertelanjang,-0.24361452,-0.5471331
331,tubuhnya,1.1952642,1.1992853
